"","sample","total.leaf.area"
"386","F6BRODIA2_20230430",6.415
"387","F6BROHOR2_20230503",5.763
"388","F6BROMAD2_20230424",2.858
"389","F6CENMEL2_20230507",24.946
"390","F6CORFIL2_20230522",3.645
"391","F6CORFIL2_20230903",1.73
"392","F6ESCCAL2_20230429",13.823
"393","F6STIPUL2_20230520",0.841
"394","F7AMSMEN2_20230403",2.452
"395","F7AVEBAR2_20230422",12.265
"396","F7BROARE2_20230324",6.003
"397","F7BRODIA2_20230430",10.298
"398","F7BROMAD2_20230424",4.466
"399","F7LUPMIC2_20230424",32.6
"400","F8AVEBAR2_20230422",15.616
"401","F8BRODIA2_20230430",7.67
"402","F8BROHOR2_20230503",9.48
"403","F8CLAPUR2_20230505",2.274
"404","F8DAUPUS2_20230521",5.704
"405","F8EROBOT2_20230405",15.205
"406","F8GERDIS2_20230410",12.94
"407","F8MADGRA2_20230515",11.123
"408","F8TORARV2_20230520",8.737
"409","F8TRIHIR1_20230509",6.063
"410","F8VICSAT2_20230422",8.126
"411","G1AVEBAR1_20230421",10.574
"412","G1AVEBAR1_20230422",25.82
"413","G1BRODIA2_20230430",8.403
"414","G1BROHOR2_20230505",4.781
"415","G1CLAPUR2_20230505",1.868
"416","G1DAUPUS2_20230522",3.682
"417","G1EROBOT1_20230405",10.161
"418","G1GERDIS2_20230410",12.451
"419","G1LUPBIC1_20230428",1.131
"420","G1MADGRA2_20230515",7.308
"421","G1TORARV2_20230520",14.511
"422","G1TRIHIR1_20230509",6.59
"423","G1VICSAT2_20230422",8.893
"424","G2AVEBAR1_20230422",11.382
"425","G2BRODIA2_20230430",5.975
"426","G2BROHOR2_20230505",9.638
"427","G2BROMAD2_20230424",5.407
"428","G2CLAPUR2_20230505",2.385
"429","G2ELYCAP2_20230520",2.417
"430","G2LUPBIC2_20230428",1.514
"431","G2MICCAL2_20230427",1.625
"432","G2PLAERE2_20230412",2.934
"433","G2TRIHIR2_20230509",5.579
"434","G3AVEBAR2_20230422",12.086
"435","G3BRODIA2_20230430",7.649
"436","G3BROHOR2_20230505",5.97
"437","G3BROMAD2_20230424",6.591
"438","G3CENMEL2_20230507",25.154
"439","G3CORFIL2_20230522",2.381
"440","G3CORFIL2_20230903",4.426
"441","G3EROCIC1_20230401",12.285
"442","G3ESCCAL2_20230428",5.551
"443","G3MICCAL2_20230427",1.84
"444","G3STIPUL2_20230520",0.875
"445","G4AMSMEN2_20230403",6.373
"446","G4AVEBAR2_20230422",9.97
"447","G4BROARE2_20230324",6.844
"448","G4BRODIA2_20230430",11.865
"449","G4BROMAD2_20230424",2.029
"450","G4EROCIC1_20230401",4.185
"451","G4PHATAN2_20230401",15.784
"452","G5AVEBAR2_20230422",30.621
"453","G5BRODIA2_20230430",8.087
"454","G5BROHOR2_20230505",5.316
"455","G5BROMAD2_20230424",2.526
"456","G5CLAPUR2_20230505",2.046
"457","G5ELYCAP2_20230520",2.172
"458","G5EROBOT2_20230405",17.866
"459","G5MICCAL2_20230427",1.952
"460","G5PLAERE2_20230412",4.2
"461","G5TRIHIR1_20230509",6.619
"462","G6BRODIA2_20230430",10.759
"463","G6BROHOR2_20230505",7.397
"464","G6CLAPUR2_20230505",1.089
"465","G6DANCAL1_20230509",0.734
"466","G6ESCCAL2_20230428",4.905
"467","G6HYPGLA2_20230426",14.544
"468","G6MADGRA2_20230515",5.398
"469","G7BRODIA2_20230430",13.018
"470","G7BROHOR2_20230505",14.416
"471","G7DAUPUS2_20230522",5.497
"472","G7ESCCAL2_20230428",2.574
"473","G7HYPGLA2_20230426",8.753
"474","G7MADGRA2_20230515",3.513
"475","G8AVEBAR1_20230421",27.724
"476","G8BRODIA2_20230430",10.289
"477","G8BROHOR2_20230505",3.547
"478","G8CLAPUR2_20230505",1.679
"479","G8DAUPUS2_20230522",4.61
"480","G8EROBOT1_20230405",9.655
"481","G8GERDIS2_20230410",6.054
"482","G8LUPBIC1_20230428",1.533
"483","G8MADGRA2_20230515",9.344
"484","G8TORARV2_20230520",10.964
"485","G8TRIHIR1_20230509",6.372
"486","H1BRODIA2_20230430",9.434
"487","H1BROHOR2_20230505",6.921
"488","H1CENMEL2_20230507",20.627
"489","H1CORFIL1_20230903",1.547
"490","H1EROCIC1_20230401",6.915
"491","H1ESCCAL2_20230428",14.187
"492","H1STIPUL1_20230520",0.972
"493","H2BRODIA2_20230430",10.522
"494","H2BROHOR2_20230505",4.433
"495","H2CLAPUR2_20230505",0.929
"496","H2DAUPUS2_20230522",6.726
"497","H2ESCCAL2_20230428",2.852
"498","H2HYPGLA2_20230426",9.2
"499","H2MADGRA2_20230515",2.55
"500","H3AVEBAR2_20230421",10.633
"501","H3BROARE2_20230324",11.125
"502","H3BRODIA2_20230430",7.114
"503","H3BROMAD2_20230424",5.742
"504","H3EROCIC2_20230401",13.121
"505","H4AVEBAR2_20230421",6.599
"506","H4BRODIA2_20230430",5.035
"507","H4BROHOR2_20230505",7.603
"508","H4BROMAD2_20230424",3.089
"509","H4CLAPUR2_20230505",1.106
"510","H4ELYCAP2_20230520",3.351
"511","H4LUPBIC2_20230428",2.106
"512","H4PLAERE2_20230412",3.995
"513","H4TRIHIR1_20230509",5.035
"514","H5AVEBAR2_20230421",22.431
"515","H5BRODIA2_20230430",22.431
"516","H5BROHOR2_20230503",6.887
"517","H5CLAPUR2_20230507",1.743
"518","H5DAUPUS2_20230522",2.436
"519","H5GERDIS2_20230410",9.823
"520","H5MADGRA2_20230515",8.45
"521","H5TORARV2_20230520",9.548
"522","H5VICSAT2_20230423",12.544
"523","H6BRODIA2_20230430",10.156
"524","H6BROHOR2_20230503",6.777
"525","H6CLAPUR2_20230507",0.865
"526","H6DAUPUS2_20230522",4.51
"527","H6ESCCAL2_20230428",3.367
"528","H6HYPGLA2_20230426",14.617
"529","H6MADGRA2_20230515",5.567
"530","H7AVEBAR2_20230421",10.776
"531","H7BRODIA2_20230501",9.385
"532","H7BROHOR2_20230503",7.046
"533","H7BROMAD2_20230423",4.432
"534","H7CLAPUR2_20230507",1.769
"535","H7ELYCAP2_20230520",3.142
"536","H7EROBOT1_20230405",14.523
"537","H7MICCAL2_20230427",0.777
"538","H7PLAERE2_20230412",1.919
"539","H7TRIHIR2_20230509",4.879
"540","H8AVEBAR2_20230421",16.561
"541","H8BRODIA2_20230501",10.057
"542","H8BROHOR2_20230503",5.565
"543","H8BROMAD2_20230423",3.52
"544","H8CENMEL2_20230507",31.606
"545","H8CORFIL1_20230903",1.633
"546","H8ESCCAL2_20230428",10.048
"547","H8MICCAL2_20230427",0.856
"548","H8STIPUL2_20230520",2.106
"549","HIBROMAD2_20230424",4.732
"550","I1AVEBAR2_20230421",10.042
"551","I1BRODIA2_20230501",17.177
"552","I1BROHOR2_20230503",11.69
"553","I1CLAPUR2_20230507",2.227
"554","I1DAUPUS1_20230522",3.404
"555","I1GERDIS2_20230410",12.025
"556","I1LUPBIC1_20230428",2.398
"557","I1MADGRA2_20230515",7.37
"558","I1TORARV2_20230520",5.328
"559","I1VICSAT2_20230423",18.501
"560","I2AMSMEN2_20230405",6.4
"561","I2AVEBAR2_20230421",25.018
"562","I2BRODIA2_20230501",12.819
"563","I2BROHOR2_20230503",5.435
"564","I2BROMAD2_20230424",2.763
"565","I2CALMEN1_20230403",1.503
"566","I2CENMEL2_20230507",36.424
"567","I2CORFIL2_20230903",5.663
"568","I2EROCIC2_20230401",14.017
"569","I2ESCCAL2_20230428",6.128
"570","I2MICCAL2_20230427",2.041
"571","I2PHATAN2_20230405",17.987
"572","I2STIPUL2_20230520",1.838
"573","I3AVEBAR2_20230421",17.098
"574","I3BROARE2_20230324",6.843
"575","I3BRODIA2_20230501",13.623
"576","I3BROMAD2_20230423",3.186
"577","I3EROCIC2_20230401",1.986
"578","I3ESCCAL1_20230428",12.484
"579","I4AVEBAR2_20230421",37.273
"580","I4BRODIA2_20230501",6.332
"581","I4BROHOR2_20230503",12.378
"582","I4CLAPUR2_20230507",1.986
"583","I4DAUPUS2_20230522",4.944
"584","I4EROBOT1_20230405",28.604
"585","I4GERDIS2_20230410",11.748
"586","I4MADGRA2_20230515",11.384
"587","I4TORARV2_20230520",5.735
"588","I4VICSAT2_20230423",13.719
"589","I5AIRCAR2_20230509",0.801
"590","I5BRODIA2_20230501",14.841
"591","I5BROHOR2_20230503",9.124
"592","I5CLAPUR2_20230507",1.087
"593","I5ESCCAL2_20230429",5.24
"594","I5HYPGLA2_20230426",7.402
"595","I5MADGRA2_20230515",4.522
"596","I6BRODIA2_20230501",6.566
"597","I6BROHOR2_20230503",6.341
"598","I6CLAPUR2_20230507",0.824
"599","I6DAUPUS2_20230522",7.069
"600","I6HYPGLA2_20230426",9.612
"601","I6MADGRA2_20230515",5.631
"602","I7AVEBAR2_20230421",26.86
"603","I7BRODIA2_20230501",9.783
"604","I7BROHOR2_20230503",5.112
"605","I7BROMAD2_20230423",4.049
"606","I7CLAPUR2_20230507",2.499
"607","I7ELYCAP2_20230520",3.047
"608","I7LUPBIC2_20230428",1.012
"609","I7MICCAL2_20230427",1.606
"610","I7PLAERE2_20230410",2.45
"611","I8BRODIA2_20230501",13.099
"612","I8BROHOR2_20230503",9.343
"613","I8CLAPUR2_20230507",1.101
"614","I8DAUPUS2_20230522",10.451
"615","I8ESCCAL2_20230428",3.185
"616","I8HYPGLA2_20230426",13.687
"617","I8MADGRA2_20230515",7.061
"618","J1AVEBAR2_20230421",22.496
"619","J1BRODIA2_20230501",11.496
"620","J1BROHOR2_20230503",6.151
"621","J1CLAPUR2_20230507",1.682
"622","J1DAUPUS2_20230522",6.187
"623","J1EROBOT2_20230405",10.359
"624","J1GERDIS2_20230410",5.166
"625","J1LUPBIC2_20230428",0.977
"626","J1MADGRA2_20230515",6.696
"627","J1TORARV2_20230520",4.206
"628","J1TRIHIR2_20230509",8.271
"629","J1VICSAT2_20230423",11.392
"630","J2BRODIA2_20230501",10.396
"631","J2BROHOR2_20230503",10.181
"632","J2CLAPUR2_20230507",0.801
"633","J2DAUPUS2_20230522",7.17
"634","J2ESCCAL2_20230428",3.157
"635","J2HYPGLA2_20230426",5.479
"636","J2MADGRA2_20230515",2.703
"637","J3AVEBAR2_20230421",30.563
"638","J3BRODIA2_20230501",9.811
"639","J3BROHOR2_20230503",5.795
"640","J3BROMAD2_20230423",5.54
"641","J3CLAPUR2_20230507",2.181
"642","J3ELYCAP2_20230520",3.696
"643","J3MICCAL2_20230427",1.069
"644","J3PLAERE2_20230410",3.975
"645","J4AMSMEN2_20230405",5.337
"646","J4AVEBAR2_20230421",10.1
"647","J4BROARE2_20230324",8.267
"648","J4BRODIA2_20230501",18.723
"649","J4BROMAD2_20230423",6.074
"650","J4EROCIC2_20230401",23.995
"651","J4PHATAN2_20230405",13.168
"652","J5AVEBAR2_20230421",10.325
"653","J5BRODIA2_20230501",6.273
"654","J5BROHOR2_20230503",7.971
"655","J5BROMAD2_20230423",5.291
"656","J5CENMEL2_20230507",20.731
"657","J5CORFIL2_20230903",3.645
"658","J5EROCIC2_20230401",12.448
"659","J5ESCCAL2_20230428",10.408
"660","J5MICCAL2_20230427",2.359
"661","J5STIPUL2_20230520",1.408
"662","J6AVEBAR2_20230421",27.435
"663","J6BRODIA2_20230501",8.887
"664","J6BROHOR2_20230503",4.2
"665","J6BROMAD2_20230423",4.07
"666","J6CLAPUR2_20230507",2.929
"667","J6ELYCAP2_20230520",2.338
"668","J6LUPBIC2_20200428",1.505
"669","J6MICCAL2_20230427",0.914
"670","J6PLAERE2_20230410",3.195
"671","J6TRIHIR2_20230509",5.003
"672","J7AMSMEN2_20230405",3.628
"673","J7AVEBAR2_20230421",22.543
"674","J7BROARE2_20230324",5.621
"675","J7BRODIA2_20230501",8.589
"676","J7BROMAD2_20230423",4.358
"677","J7EROCIC1_20230401",6.536
"678","J7ESCCAL1_20230428_NO",1.382
"679","J7LUPMIC1_20230424",2.204
"680","J7PHATAN2_20230405",9.663
"681","J8AVEBAR2_20230421",29.501
"682","J8BRODIA2_20230501",13.189
"683","J8BROHOR2_20230503",6.655
"684","J8BROMAD2_20230423",5.156
