Plant_ID,rgr_h_FM,rgr_h_MA,rgr_h_AM,rgr_h_MJ,rgr_l_FM,rgr_l_MA,rgr_l_AM,rgr_l_MJ,rgr_v_FM,rgr_v_MA,rgr_v_AM,rgr_v_MJ
B6.CORFIL.1,0.031596232133591556,0.03327653269091472,0.022013730744978734,0.01882387856174559,0.01761467668158588,0.005362398729233961,0.018733707582701226,0.01741533471341079,0.08877651063716163,0.076725536788727,0.09338153940191593,-0.05882240654679225
B6.STIPUL.1,NA,0.026949727408063392,0.00283321713267507,0.020980879055219556,NA,0,-0.010136627702704109,0.023850888712244965,NA,0.02694972740806337,0.08055974110419994,0.049862483852062225
B7.MADGRA.1,0.04603451954249449,0.026005953450666305,0.033260347568135853,NA,0.02599213111642691,0.058679423330767214,0.02419360033657676,NA,0.11499925645027341,0.034671822657115735,0.07650744920588504,NA
B7.TRIHIR.1,0.02390162691586018,0.0526988079184722,NA,NA,Inf,0.0526988079184722,NA,NA,0.07170488074758054,0.13968442735181905,NA,NA
B8.AMSMEN.1,0.03159623213359155,NA,NA,NA,-0.0020905042005667247,NA,NA,NA,0.0707637723928217,NA,NA,NA
B8.AVEBAR.1,NA,0.03773381099575712,0.054248547264559285,NA,NA,-0.004381249357912361,-0.005635877668131132,NA,NA,0.10471774445291589,0.05289224408708933,NA
B8.BROARE.1,NA,0.020126049808687665,-0.007120451189256714,NA,NA,0.00319274289872201,-0.014595017821885456,NA,NA,0.08153814254521666,-0.055620649217310025,NA
B8.BRODIA.1,NA,0.04557810293261437,0.005076605063927213,NA,NA,0.005207583543232095,-0.04115318806829046,NA,NA,0.13464361572248093,-0.02851120435905103,NA
B8.BROMAD.1,NA,0.0516590330981341,NA,NA,NA,0.009861284861655387,NA,NA,NA,0.055062947794313484,NA,NA
B8.CAUCOU.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B8.EROCIC.1,0.012920463773841748,0.048770845831336375,0.011237305921311678,NA,0.00992007146385451,0.04721650357716818,0.011135526837016836,NA,0.09601298889626977,0.11888318591292182,0.03921148001159466,NA
B8.ESCCAL.1,0.027188184840147248,0.05525796606522602,NA,NA,0.008315932993685785,-0.045307207086680845,NA,NA,0.06376997658791492,0.07729433804201981,NA,NA
C1.BRODIA.1,NA,0.04036967573649334,0.008934398429378073,NA,NA,0.025549281788183158,-0.03323461420945752,NA,NA,0.12576526543396424,0.046734193116290415,NA
C1.BROHOR.1,NA,0.05364793041447001,NA,NA,NA,0.004307057716000203,NA,NA,NA,0.10226529258693355,NA,NA
C1.BROMAD.1,NA,0.040132426810864534,NA,NA,NA,0.011045237865148083,NA,NA,NA,0.10826317024231015,NA,NA
C1.CLAPUR.1,0.07241274028591468,0.033588017015412766,0.01960297396914181,NA,0.05147250545898193,0.04927485673875832,0.02685032824136855,NA,0.15736397813928774,0.09298114643969244,0.055518578256014674,NA
C1.ELYCAP.1,0.004530116756014753,0.014727758409301302,0.028835482668923815,NA,0.03675044019336293,0.02179754891355546,-0.0766399005921,NA,0.010780844813621463,0.07586225682184443,0.05155114829748222,NA
C1.HOLVIR.1,0.07997852083383984,0.023104906018664842,0.05729891257186436,0.009733560501393956,0.05331901388922655,0.02883324791622015,0.1339124984274728,0.06645558491281525,0.1683681647817116,0.07906648481220711,0.11598986101502866,0.0413297616871402
C1.MICCAL.1,0.026659506944613283,0.05364793041447002,NA,NA,0.029241787822983624,-0.029268983968465254,NA,NA,0.10663802777845313,0.03175527920150098,NA,NA
C1.PLAERE.1,0.029738072624364675,0.027874934140020624,NA,NA,0.00909187607939347,0.0017097764795850198,NA,NA,0.07210534756057309,0.03591366936725023,NA,NA
