Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
Blue Oak Ranch Reserve,3/22/22,9,Lupinus bicolor,7,,,
Blue Oak Ranch Reserve,3/22/22,9,Micropus californicus,1,,,
Blue Oak Ranch Reserve,3/22/22,9,Primula sp.,1,,,
Blue Oak Ranch Reserve,3/22/22,9,Rock,0,,,
Blue Oak Ranch Reserve,3/22/22,9,Sanicula bipinnatifida,5,,,
Blue Oak Ranch Reserve,3/22/22,9,Torilis arvensis,3,,,
Blue Oak Ranch Reserve,3/22/22,9,Daucus pusillus,1,,,
Blue Oak Ranch Reserve,3/22/22,9,Trifolium hirtum,8,,,fuzzy
Blue Oak Ranch Reserve,3/22/22,9,Trifolium sp.,4,,,not fuzzy
Blue Oak Ranch Reserve,3/22/22,9,Unknown forb-2,1,,,
Blue Oak Ranch Reserve,3/22/22,9,Unknown fuzzy forb,4,,,
Blue Oak Ranch Reserve,3/22/22,9,Unkown forb-1,1,,,
Blue Oak Ranch Reserve,3/22/22,9,Vicia sativa,5,,,
Blue Oak Ranch Reserve,5/26/22,9,Avena barbata,2,,,
Blue Oak Ranch Reserve,5/26/22,9,Bromus diandrus,3,,,
Blue Oak Ranch Reserve,5/26/22,9,Cynosurus echinatus,1,,,
Blue Oak Ranch Reserve,3/22/22,10,Amsinckia sp.,2,,,
Blue Oak Ranch Reserve,3/22/22,10,Bare ground,1,,,
Blue Oak Ranch Reserve,3/22/22,10,Torilis arvensis,1,,,
Blue Oak Ranch Reserve,3/22/22,10,Chlorogalum pomeridianum,2,,,
Blue Oak Ranch Reserve,3/22/22,10,Clarkia purpurea,2,,,
Blue Oak Ranch Reserve,3/22/22,10,Erodium botrys,40,,,
Blue Oak Ranch Reserve,3/22/22,10,Erodium cicutarium,1,,,
Blue Oak Ranch Reserve,3/22/22,10,Galium parisiense,1,,,
Blue Oak Ranch Reserve,3/22/22,10,Geranium dissectum,3,,,
Blue Oak Ranch Reserve,3/22/22,10,Grass,35,,,
Blue Oak Ranch Reserve,3/22/22,10,Litter,10,,,
Blue Oak Ranch Reserve,3/22/22,10,Lupinus bicolor,8,,,
Blue Oak Ranch Reserve,3/22/22,10,Primula sp.,2,,,
Blue Oak Ranch Reserve,3/22/22,10,Rock,0,,,
