sample,total.leaf.area
G8DAUPUS2_20230522,4.61
G8EROBOT1_20230405,9.655
G8GERDIS2_20230410,6.054
G8LUPBIC1_20230428,1.932
G8MADGRA2_20230515,9.344
G8TORARV2_20230520,10.964
G8TRIHIR1_20230509,6.372
H1BRODIA2_20230430,9.434
H1BROHOR2_20230505,6.921
H1BROMAD2_20230424,4.732
H1CENMEL2_20230507,20.627
H1EROCIC1_20230401,6.915
H1MICCAL2_20230427,0.964
H2AIRCAR2_20230509,0.365
H2BRODIA2_20230430,10.522
H2BROHOR2_20230505,4.433
H2CLAPUR2_20230505,0.929
H2DAUPUS2_20230522,6.726
H2GALPAR2_20230426,0.319
H2HYPGLA2_20230426,9.2
H2MADGRA2_20230515,2.55
H3AVEBAR2_20230421,10.633
H3BROARE2_20230324,11.125
H3BRODIA2_20230430,7.114
H3BROMAD2_20230424,5.742
H3EROCIC2_20230401,13.121
H4AVEBAR2_20230421,6.599
H4BRODIA2_20230430,5.035
H4BROHOR2_20230505,7.603
H4BROMAD2_20230424,3.089
H4CLAPUR2_20230505,1.106
H4ELYCAP2_20230520,3.351
H4HOLVIR1_20230903,0.958
H4LUPBIC2_20230428,2.106
H4MICCAL2_20230427,1.783
H4PLAERE2_20230412,3.995
H4TRIHIR1_20230509,5.035
H5AVEBAR2_20230421,22.431
H5BRODIA2_20230430,7.722
H5BROHOR2_20230503,6.887
H5CLAPUR2_20230507,1.743
H5DAUPUS2_20230522,2.436
H5GERDIS2_20230410,9.823
H5MADGRA2_20230515,8.45
H5TORARV2_20230520,9.548
H5VICSAT2_20230423,12.544
H6AIRCAR2_20200509,0.411
H6BRODIA2_20230430,10.156
H6BROHOR2_20230503,6.777
H6CLAPUR2_20230507,0.865
H6DAUPUS2_20230522,4.51
H6GALPAR2_20230426,1.677
H6HYPGLA2_20230426,14.617
H6MADGRA2_20230515,5.567
H7AVEBAR2_20230421,10.776
H7BRODIA2_20230501,9.385
H7BROHOR2_20230503,7.046
H7BROMAD2_20230423,4.432
H7CLAPUR2_20230507,1.769
H7ELYCAP2_20230520,3.142
H7EROBOT1_20230405,14.523
H7HOLVIR1_20230903,1.385
H7MICCAL2_20230427,1.398
