Plant_ID,Species,Recorder,Collection_Date,Flower_Count,Flower_1_g,Flower_2_g,Flower_3_g,Flower_4_g,Flower_5_g,Flower_6_g,Flower_7_g,Flower_8_g,Flower_9_g,Flower_10_g,Veg_Mass,NOTES
F7.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
G4.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
H3.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
I3.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
J4.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
J7.MIRMUL.1,MIRMUL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A2.PHATAN.1,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
A4.PHATAN.1,PHATAN,MR,5/1/23,1130,0.0035,0.0036,0.0039,0.0031,0.0035,0.0042,0.0042,0.0042,0.0026,0.0039,10.85,
B8.PHATAN.1,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C6.PHATAN.1,PHATAN,JF,4/12/23,20,0.0043,0.0034,0.0045,0.0036,0.0031,0.0034,0.0047,0.0035,0.0036,0.0044,0.63,
C7.PHATAN.1,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
D3.PHATAN.1,PHATAN,HK,5/11/23,4,0.0025,0.0027,0.0034,0.004,NA,NA,NA,NA,NA,NA,0.08,
D5.PHATAN.1,PHATAN,HK,5/11/23,24,0.026,0.02,0.022,0.0035,0.0048,0.0026,0.003,0.0052,0.0051,0.0034,0.13,
E2.PHATAN.1A,PHATAN,HK,4/29/23,11,0.0034,0.0039,0.0033,0.0029,0.0035,0.0043,0.004,0.003,0.004,0.0032,0.26,
E2.PHATAN.1B,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
E4.PHATAN.1-E2,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
F2.PHATAN.1,PHATAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
F7.PHATAN.1,PHATAN,JF,4/8/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,No FLS only PL
G4.PHATAN.1,PHATAN,JF,4/30/23,168,0.0025,0.0021,0.0015,0.0028,0.0033,0.0022,0.0023,0.0031,0.0024,0.0025,1.52,
H3.PHATAN.1,PHATAN,JF,4/13/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,No FLS only PL
I3.PHATAN.1,PHATAN,JF,4/24/23,153,0.0056,0.0054,0.0059,0.0057,0.0059,0.005,0.0045,0.0057,0.006,0.0055,1.65,
J4.PHATAN.1,PHATAN,JF,5/1/23,107,0.0023,0.002,0.0027,0.0026,0.0021,0.0018,0.0019,0.0016,0.0021,0.0022,0.86,not found 5/11/23 - Originally said NA
J7.PHATAN.1,PHATAN,JF,5/1/23,202,0.0035,0.0032,0.0033,0.0037,0.0033,0.003,0.0035,0.0036,0.0034,0.0039,1.31,
A5.PLAERE.1,PLAERE,HK,5/17/23,167,0.0048,0.003,0.005,0.0055,0.0058,0.0039,0.0059,0.0031,0.0027,0.0029,0.2875,
A8.PLAERE.1,PLAERE,HR,5/17/23,122,0.0037,0.0036,0.0038,0.0042,0.0017,0.0032,0.0021,0.0032,0.0037,0.0034,0.35,
B2.PLAERE.1,PLAERE,HK,5/17/23,51,0.003,0.003,0.0025,0.0018,0.0024,0.0049,0.0025,0.0032,0.0023,0.0022,0.01635,
