Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
E3 DAUPUS 1,-31.23,1315.08,,0.61,58.31,,USDADrought6,G3,leaf,"13C, %N",3.501,2226080,613429,D,
E3 HYPGLA 2,-29.95,1346.1,,1.54,53.32,,USDADrought3,D5,leaf,"13C, %N",3.267,2225758,612471,D,
E3 MADGRA 3,-31.28,1429.24,,0.82,93.38,,USDADrought3,G7,leaf,"13C, %N",3.572,2225796,612521,D,
E4 AVEBAR 2,-29.03,1303.8,,2.57,70.04,,USDADrought1,D4,leaf,"13C, %N",3.272,2225565,612223,D,
E4 BROARE 2,-29.7,1386.4,,0.94,74.07,,USDADrought2,B10,leaf,"13C, %N",3.697,2225643,612325,D,
E4 BRODIA 2,-29.37,1442.17,,1.26,66.66,,USDADrought5,C5,leaf,"13C, %N",3.468,2225938,612704,D,
E4 BROMAD 2,-30.57,1204.22,,1.57,55.21,,USDADrought5,A1,leaf,"13C, %N",3.061,2225910,612666,D,
E4 LUPMIC 1,-29.77,1422.29,,-0.69,101.02,,USDADrought5,F6,leaf,"13C, %N",3.625,2225975,612753,D,
E4 PHATAN 2-E2,-30.2,1351.8,,2.53,53.32,,USDADrought5,E5,leaf,"13C, %N",3.787,2225962,612736,D,
E5 AVEFAT 2,-30.97,1262.81,,2.32,53.07,,USDADrought7,B9,leaf,"13C, %N",3.22,2226122,613314,D,
E5 BRODIA 1,-30.45,1470.77,,1.18,54.98,,USDADrought4,B1,leaf,"13C, %N",3.829,2225826,612563,D,
E5 BROHOR 2,-30.89,1343.66,,0.91,49.09,,USDADrought6,D9,leaf,"13C, %N",3.423,2226050,612852,D,
E5 CENMEL 2,-31.1,1193.37,,1.92,68.52,,USDADrought1,G1,leaf,"13C, %N",3.347,2225598,612268,D,
E5 EROCIC 2,-29.82,1448.77,,4.51,120.05,,USDADrought2,E1,leaf,"13C, %N",3.879,2225670,612364,D,
E5 MICCAL 2,-28.96,1319.95,,0.86,30.76,,USDADrought6,F5,leaf,"13C, %N",3.254,2226070,613839,D,
E6 AVEFAT 2,-31.29,1185.68,,2.03,49.03,,USDADrought6,A9,leaf,"13C, %N",3.134,2226014,612804,D,
E6 BRODIA 2,-30.51,1372.93,,2.59,41.19,,USDADrought5,B11,leaf,"13C, %N",3.458,2225932,612694,D,
E6 BROHOR 2,-30.44,1492,,0.61,88.85,,USDADrought5,C11,leaf,"13C, %N",3.754,2225944,612710,D,
E6 CENMEL 2,-31.29,1260.47,,2.18,76.28,,USDADrought3,A11,leaf,"13C, %N",3.319,2225728,612429,D,
E6 EROCIC 2,-29.24,1148.69,,1.56,90.08,,USDADrought1,A5,leaf,"13C, %N",3.284,2225530,612176,D,
E7 AVEBAR 2,-29.79,1378.73,,1.77,77.72,,USDADrought6,A8,leaf,"13C, %N",3.257,2226013,612803,D,
E7 BRODIA 2,-30.69,1399.6,,1.51,52.55,,USDADrought5,A4,leaf,"13C, %N",3.462,2225913,612669,D,
E7 BROHOR 2,-30.35,1313.4,,0.95,71.91,,USDADrought5,D2,leaf,"13C, %N",3.433,2225947,612715,D,
E7 BROMAD 2,-29.17,629.8,,1.11,27.92,,USDADrought1,D5,leaf,"13C, %N",1.645,2225566,612224,D,
E7 CLAPUR 2,-30.62,1544.37,,1.38,80.91,,USDADrought4,E7,leaf,"13C, %N",3.792,2225868,612617,D,
E7 ELYCAP 2,-29.92,1368.89,,1.29,58.73,,USDADrought3,D1,leaf,"13C, %N",3.725,2225754,612467,D,
E7 EROBOT 1,-30.67,1333.12,,1.94,70.84,,USDADrought1,A6,leaf,"13C, %N",3.487,2225531,612177,D,
E7 MICCAL 2,-29.85,1610.38,,1.31,81.02,,USDADrought6,F7,leaf,"13C, %N",3.973,2226072,613841,D,
E7 PLAERE 2,-29.88,1540.42,,2.36,90.93,,USDADrought3,C1,leaf,"13C, %N",3.661,2225742,612453,D,
