Sample_ID,δ13CVPDB_permil,Total_C_µg,C_Comment,δ15NAir_permil,Total_N_µg,N_Comment,Tray_Name,Well_Id,Type_of_Material,Analysis,Sample_Weight_mg_from_Sample_List,Internal_ID,Analysis_Number,Mass_Spec,Error
J2 DAUPUS 1,-31.31,1202.54,,0.66,48.26,,USDADrought6,G2,leaf,"13C, %N",3.045,2226079,613428,D,
J2 HYPGLA 2,-31.76,1218.95,,0.92,61.74,,USDADrought3,D6,leaf,"13C, %N",3.169,2225759,612472,D,
J2 MADGRA 2,-31.55,1579.13,,1.11,99.63,,USDADrought3,G9,leaf,"13C, %N",3.948,2225798,612523,D,
J3 AVEBAR 2,-30.57,1414.5,,1.43,80.99,,USDADrought7,C10,leaf,"13C, %N",3.486,2226135,613331,D,
J3 BRODIA 2,-31.62,1282.95,,0.89,48.85,,USDADrought4,B3,leaf,"13C, %N",3.239,2225828,612565,D,
J3 BROHOR 2,-30.24,1419.54,,1.22,47.36,,USDADrought6,E4,leaf,"13C, %N",3.893,2226057,613822,D,
J3 BROMAD 2,-31.96,1240.19,,1.03,65.23,,USDADrought3,C4,leaf,"13C, %N",3.154,2225745,612456,D,
J3 CLAPUR 2,-30.28,1412.06,,1.6,72.37,,USDADrought4,E5,leaf,"13C, %N",3.438,2225866,612615,D,
J3 ELYCAP 2,-31.36,1095.94,,0.72,34.05,,USDADrought3,D2,leaf,"13C, %N",3.136,2225755,612468,D,
J3 HOLVIR 2,-30.51,1329.74,,2.21,72.2,,USDADrought4,F2,leaf,"13C, %N",3.134,2225875,613802,D,
J3 MICCAL 2,-29.71,1410.82,,0.12,49.92,,USDADrought1,B6,leaf,"13C, %N",3.646,2225543,612195,D,
J3 PLAERE 2,-30.47,1268.78,,0.56,60.9,,USDADrought3,B11,leaf,"13C, %N",3.109,2225740,612447,D,
J4 AVEBAR 2,-31.75,1569.77,,2.02,74.53,,USDADrought7,C9,leaf,"13C, %N",3.88,2226134,613330,D,
J4 BROARE 2,-30.5,1179.59,,1.76,57.8,,USDADrought1,H3,leaf,"13C, %N",3.156,2225612,612288,D,
J4 BRODIA 2,-31.24,1379.66,,0.84,51.26,,USDADrought5,C3,leaf,"13C, %N",3.456,2225936,612702,D,
J4 BROMAD 2,-32.13,1260.71,,-0.04,58.37,,USDADrought3,C3,leaf,"13C, %N",3.427,2225744,612455,D,
J4 EROCIC 2,-30.17,1328.45,,2.63,128.87,,USDADrought2,D10,leaf,"13C, %N",3.573,2225667,612359,D,
J4 PHATAN 2,-30.73,1173.69,,3.59,56.91,,USDADrought5,E6,leaf,"13C, %N",3.095,2225963,612737,D,
J5 AVEFAT 2,-31.42,1438.47,,1.46,77.01,,USDADrought5,D12,leaf,"13C, %N",3.756,2225957,612725,D,
J5 BRODIA 2,-31.35,1194.32,,1.17,41.53,,USDADrought4,B6,leaf,"13C, %N",3.117,2225831,612568,D,
J5 BROHOR 2,-30.75,1270.1,,0.56,47.69,,USDADrought6,E1,leaf,"13C, %N",3.508,2226054,613819,D,
J5 BROMAD 2,-30.98,1401.92,,1.77,41.4,,USDADrought5,H1,leaf,"13C, %N",3.694,2225994,612780,D,
J5 CENMEL 2,-31.49,1202.36,,0.93,72.37,,USDADrought3,A12,leaf,"13C, %N",3.289,2225729,612430,D,
J5 EROCIC 2,-30.86,1280.03,,3.99,96.99,,USDADrought2,D9,leaf,"13C, %N",3.823,2225666,612358,D,
J5 MICCAL 2,-30.28,1534.06,,1.23,79.94,,USDADrought6,F11,leaf,"13C, %N",3.765,2226076,613845,D,
J6 AVEBAR 2,-28.8,1187.01,,0.97,54.54,,USDADrought4,H12,leaf,"13C, %N",3.008,2225909,613587,D,
J6 BRODIA 2,-30.65,1406.78,,0.49,59.02,,USDADrought5,C1,leaf,"13C, %N",3.53,2225934,612700,D,
J6 BROHOR 2,-29.61,1488.77,,1.13,63.11,,USDADrought6,D7,leaf,"13C, %N",3.674,2226048,612850,D,
J6 BROMAD 2,-29.97,1330.4,,1.45,73.04,,USDADrought5,H9,leaf,"13C, %N",3.27,2226002,612788,D,
J6 CLAPUR 2,-31.32,1479.87,,2.45,75.94,,USDADrought4,E4,leaf,"13C, %N",3.622,2225865,612614,D,
J6 ELYCAP 2,-30.5,1186.62,,0.92,40.61,,USDADrought5,F4,leaf,"13C, %N",3.267,2225973,612751,D,
J6 MICCAL 2,-31.6,1392.62,,0.63,78.78,,USDADrought1,B7,leaf,"13C, %N",3.59,2225544,612196,D,
J6 PLAERE 2,-29.72,1438.33,,1.21,46.37,,USDADrought3,B12,leaf,"13C, %N",3.47,2225741,612448,D,
J6 TRIHIR 2,-32.2,1600.59,,-0.85,115.21,,USDADrought3,B5,leaf,"13C, %N",3.875,2225734,612441,D,
J7 AVEBAR 2,-29.91,1348.92,,1.77,92.6,,USDADrought7,B10,leaf,"13C, %N",3.236,2226123,613315,D,
J7 BROARE 2,-30.4,1164.7,,2.98,75.9,,USDADrought1,H1,leaf,"13C, %N",3.148,2225610,612286,D,
J7 BRODIA 2,-30.56,1403.08,,0.38,45.21,,USDADrought5,C2,leaf,"13C, %N",3.514,2225935,612701,D,
J7 BROMAD 2,-31.84,1171.34,,-0.12,54.76,,USDADrought5,H2,leaf,"13C, %N",3.173,2225995,612781,D,
J7 EROCIC 1,-30.41,1266.93,,1.73,81.83,,USDADrought2,D12,leaf,"13C, %N",3.78,2225669,612361,D,
J7 LUPMIC 1,-31.79,1275.15,,0.33,68.86,,USDADrought5,F5,leaf,"13C, %N",3.441,2225974,612752,D,
J7 PHATAN 2,-29.38,1242.42,,2.48,63.55,,USDADrought5,E9,leaf,"13C, %N",3.309,2225966,612740,D,
J8 AVEFAT 2,-30.58,1419.63,,1.39,61,,USDADrought7,C2,leaf,"13C, %N",3.83,2226127,613323,D,
J8 BRODIA 2,-30.51,1597.33,,0.75,43.12,,USDADrought5,A9,leaf,"13C, %N",3.783,2225918,612674,D,
J8 BROHOR 2,-30.93,1286.12,,0.34,37.12,,USDADrought6,D8,leaf,"13C, %N",3.419,2226049,612851,D,
J8 BROMAD 2,-31.4,1167.81,,1.42,41.06,,USDADrought5,H8,leaf,"13C, %N",3.104,2226001,612787,D,
J8 CENMEL 2,-31.31,1326.99,,0.12,74.75,,USDADrought3,B1,leaf,"13C, %N",3.508,2225730,612437,D,
J8 EROCIC 2,-30.09,1078.2,,3.68,92.34,,USDADrought2,D8,leaf,"13C, %N",3.836,2225665,612357,D,
J8 MICCAL 2,-30.74,1267.54,,0.26,45.58,,USDADrought6,F4,leaf,"13C, %N",3.129,2226069,613838,D,
