sample,total.leaf.area
E3CLAPUR2_20230507,0.814
E7CLAPUR2_20230507,1.833
E8CLAPUR2_20230507,1.12
F1CLAPUR1_20230505,0.847
F3CLAPUR2_20230505,1.121
F4CLAPUR2_20230505,1.367
F5CLAPUR2_20230505,1.16
F8CLAPUR1_20230505,1.394
G1CLAPUR2_20230505,1.19
G5CLAPUR2_20230505,1.237
G6CLAPUR2_20230505,1.051
G8CLAPUR2_20230505,1.054
H2CLAPUR2_20230505,0.893
H4CLAPUR2_20230505,1.008
H5CLAPUR2_20230507,1.307
H6CLAPUR2_20230507,0.851
H7CLAPUR2_20230507,1.292
I1CLAPUR2_20230507,1.288
I4CLAPUR2_20230507,1.36
I5CLAPUR2_20230507,0.972
I6CLAPUR2_20230507,0.804
I8CLAPUR2_20230507,1.078
I7CLAPUR2_20230507,1.495
J1CLAPUR2_20230507,1.266
J2CLAPUR2_20230507,0.786
J3CLAPUR2_20230507,1.36
J6CLAPUR2_20230507,1.853
A6CORFIL2_20230903,2.37
A7CORFIL2_20230903,2.076
B3CORFIL1_20230522,4.39
B3CORFIL1_20230903,3.382
B6CORFIL2_20230522,3.08
B6CORFIL2_20230903,3.437
C2CORFIL2_20230903,2.109
D8CORFIL2_20230903,2.124
E5CORFIL2_20230903,1.708
E6CORFIL1_20230903,3.353
F6CORFIL2_20230522,2.992
F6CORFIL2_20230903,1.252
G3CORFIL2_20230522,2.066
G3CORFIL2_20230903,3.139
H1CORFIL2_20230903,1.179
H8CORFIL1_20230903,1.326
I2CORFIL2_20230903,2.8
J5CORFIL2_20230903,2.545
J8CORFIL2_20230903,3.381
A1DAUPUS2_20230521,2.275
A3DAUPUS2_20230521,2.574
B1DAUPUS2_20230521,4.81
B4DAUPUS2_20230521,3.249
B7DAUPUS2_20230522,2.854
C4DAUPUS2_20230522,3.464
C5DAUPUS2_20230522,2.908
C8DAUPUS2_20230522,3.458
D2DAUPUS2_20230522,2.795
D6DAUPUS2_20230522,2.818
E1DAUPUS2_20230522,2.226
E3DAUPUS1_20230522,2.471
E8DAUPUS2_20230522,2.146
F1DAUPUS1_20230521,0.784
F3DAUPUS2_20230521,2.204
F8DAUPUS2_20230521,2.68
G1DAUPUS2_20230522,2.123
G7DAUPUS2_20230522,2.04
G8DAUPUS2_20230522,2.404
H2DAUPUS2_20230522,3.634
H5DAUPUS2_20230522,1.51
H6DAUPUS2_20230522,2.356
I1DAUPUS1_20230522,1.922
I4DAUPUS2_20230522,2.43
I6DAUPUS2_20230522,2.758
I8DAUPUS2_20230522,4.039
J1DAUPUS2_20230522,2.707
J2DAUPUS1_20230522,3.138
B2ELYCAP2_20230520,0.896
B5ELYCAP2_20230520,0.92
C1ELYCAP2_20230520,0.786
D4ELYCAP2_20230520,0.876
E7ELYCAP2_20230520,0.911
F5ELYCAP2_20230520,0.901
G2CLAPUR2_20230505,1.377
G2ELYCAP2_20230520,0.979
G5ELYCAP2_20230520,0.921
H4ELYCAP2_20230520,1.334
H7ELYCAP2_20230520,1.367
I7ELYCAP2_20230520,1.178
J3ELYCAP2_20230520,1.173
J6ELYCAP2_20230520,1.08
A3EROBOT1_20230405,4.591
A5EROBOT1_20230405,5.792
B1EROBOT1_20230405,6.047
B2EROBOT1_20250405,5.651
B5EROBOT1_20230405,5.069
C5EROBOT1_20230405,4.97
D6EROBOT2_20230405,4.565
E7EROBOT1_20230405,1.69
E8EROBOT1_20230405,4.499
F3EROBOT1_20230405,5.686
F5EROBOT1_20230405,1.068
F8EROBOT2_20230405,4.944
G1EROBOT1_20230405,4.838
G5EROBOT2_20230405,4.776
G8EROBOT1_20230405,4.946
H7EROBOT1_20230405,5.067
I4EROBOT1_20230405,4.257
J1EROBOT2_20230405,4.137
A2EROCIC1_20230401,5.989
A4EROCIC2_20230401,5.158
A6EROCIC2_20230401,1.944
B3EROCIC2_20230401,4.933
B6EROCIC1_20230401,6.139
B8EROCIC1_20230401,4.311
C7EROCIC1_20230401,1.258
D3EROCIC1_20230401,2.303
E2EROCIC2_20230401,1.26
E5EROCIC2_20230401,3.526
E6EROCIC1_20230401,1.391
F2EROCIC1_20230401,2.838
F6EROCIC2_20230401,0.458
G3EROCIC1_20230401,5.202
G4EROCIC2_20230401,2.416
H1EROCIC1_20230401,2.449
H3EROCIC2_20230401,3.725
H8EROCIC1_20230401,0.435
I2EROCIC2_20230401,4.762
I3EROCIC2_20230401,1.69
J4EROCIC2_20230401,5.172
J5EROCIC2_20230401,4.185
J7EROCIC1_20230401,3.38
J8EROCIC2_20230401,3.662
A1ESCCAL1_20230429,0.802
A2ESCCAL1_20230429,1.93
A4ESCCAL2_20230429,3.422
A6ESCCAL1_20230429,2.867
