sample,total.leaf.area,Date,Plant_ID,Sp_Code,Plot
A7BRODIA2_20230430,9.921,2023-04-30,A7.BRODIA.2,BRODIA,A7
A8BRODIA2_20230430,5.95,2023-04-30,A8.BRODIA.2,BRODIA,A8
B1BRODIA2_20230430,9.358,2023-04-30,B1.BRODIA.2,BRODIA,B1
B2BRODIA2_20230430,7.807,2023-04-30,B2.BRODIA.2,BRODIA,B2
B3BRODIA2_20230430,17.288,2023-04-30,B3.BRODIA.2,BRODIA,B3
B4BRODIA2_20230430,8.198,2023-04-30,B4.BRODIA.2,BRODIA,B4
B5BRODIA2_20230430,6.176,2023-04-30,B5.BRODIA.2,BRODIA,B5
B6BRODIA2_20230430,13.436,2023-04-30,B6.BRODIA.2,BRODIA,B6
B7BRODIA2_20230430,17.622,2023-04-30,B7.BRODIA.2,BRODIA,B7
B8BRODIA2_20230430,8.976,2023-04-30,B8.BRODIA.2,BRODIA,B8
C1BRODIA2_20230430,11.717,2023-04-30,C1.BRODIA.2,BRODIA,C1
C2BRODIA2_20230430,15.304,2023-04-30,C2.BRODIA.2,BRODIA,C2
C3BRODIA2_20230430,15.442,2023-04-30,C3.BRODIA.2,BRODIA,C3
C4BRODIA2_20230430,9.362,2023-04-30,C4.BRODIA.2,BRODIA,C4
C5BRODIA2_20230430,22.901,2023-04-30,C5.BRODIA.2,BRODIA,C5
C6BRODIA2_20230430,15.47,2023-04-30,C6.BRODIA.2,BRODIA,C6
C7BRODIA2_20230501,9.601,2023-05-01,C7.BRODIA.2,BRODIA,C7
C8BRODIA2_20230501,13.156,2023-05-01,C8.BRODIA.2,BRODIA,C8
D1BRODIA2_20230501,9.154,2023-05-01,D1.BRODIA.2,BRODIA,D1
D2BRODIA2_20230501,7.286,2023-05-01,D2.BRODIA.2,BRODIA,D2
D3BRODIA2_20230501,12.371,2023-05-01,D3.BRODIA.2,BRODIA,D3
D4BRODIA2_20230501,10.36,2023-05-01,D4.BRODIA.2,BRODIA,D4
D5BRODIA2_20230501,8.871,2023-05-01,D5.BRODIA.2,BRODIA,D5
D6BRODIA2_20230501,10.627,2023-05-01,D6.BRODIA.2,BRODIA,D6
D7BRODIA2_20230501,10.394,2023-05-01,D7.BRODIA.2,BRODIA,D7
D8BRODIA2_20230501,5.187,2023-05-01,D8.BRODIA.2,BRODIA,D8
E1BRODIA2_20230501,9.316,2023-05-01,E1.BRODIA.2,BRODIA,E1
E2BRODIA2_20230501,5.24,2023-05-01,E2.BRODIA.2,BRODIA,E2
E3BRODIA2_20230501,5.811,2023-05-01,E3.BRODIA.2,BRODIA,E3
E4BRODIA2_20230501,10.654,2023-05-01,E4.BRODIA.2,BRODIA,E4
E5BRODIA1_20230501,9.132,2023-05-01,E5.BRODIA.1,BRODIA,E5
E6BRODIA2_20230501,7.343,2023-05-01,E6.BRODIA.2,BRODIA,E6
E7BRODIA2_20230501,5.518,2023-05-01,E7.BRODIA.2,BRODIA,E7
E8BRODIA2_20230501,8.677,2023-05-01,E8.BRODIA.2,BRODIA,E8
F1BRODIA2_20230429,3.965,2023-04-29,F1.BRODIA.2,BRODIA,F1
F2BRODIA2_20230429,8.262,2023-04-29,F2.BRODIA.2,BRODIA,F2
F3BRODIA2_20230430,6.977,2023-04-30,F3.BRODIA.2,BRODIA,F3
F4BRODIA2_20230430,8.554,2023-04-30,F4.BRODIA.2,BRODIA,F4
F5BRODIA2_20230430,7.943,2023-04-30,F5.BRODIA.2,BRODIA,F5
F6BRODIA2_20230430,6.415,2023-04-30,F6.BRODIA.2,BRODIA,F6
F7BRODIA2_20230430,10.298,2023-04-30,F7.BRODIA.2,BRODIA,F7
F8BRODIA2_20230430,7.67,2023-04-30,F8.BRODIA.2,BRODIA,F8
G1BRODIA2_20230430,8.403,2023-04-30,G1.BRODIA.2,BRODIA,G1
